codigo;id_mun;ano;valor
1503093;51;2018;1415175.20
1503093;51;2019;1625233.00
1503093;51;2020;1833553.00
1503093;51;2021;1986592.00
1503093;51;2022;2018169.00
1503093;51;2023;2244722.00
1503093;51;2024;2969995.00
1503101;52;2014;216462.60
1503101;52;2015;713415.60
1503101;52;2016;1100191.39
1503101;52;2017;1560565.00
1503101;52;2018;1399078.30
1503101;52;2019;1548964.00
1503101;52;2020;1682989.00
1503101;52;2021;2146477.00
1503101;52;2022;2686422.00
1503101;52;2023;3445884.00
1503101;52;2024;3831702.00
1503200;53;2014;94472.89
1503200;53;2015;211222.80
1503200;53;2016;310489.20
1503200;53;2017;1001070.39
1503200;53;2018;1070642.10
1503200;53;2019;1266914.20
1503200;53;2020;1339522.50
1503200;53;2021;1660584.00
1503200;53;2022;651615.70
1503200;53;2023;1310038.30
1503200;53;2024;1572863.00
1503309;54;2014;163348.30
1503309;54;2015;392200.30
1503309;54;2016;734516.90
1503309;54;2017;1230929.10
1503309;54;2018;1247053.01
1503309;54;2019;1303263.00
1503309;54;2020;1467435.20
1503309;54;2021;1894596.00
1503309;54;2022;2267247.00
1503309;54;2023;2426800.00
1503309;54;2024;2867196.00
1503408;55;2014;197625.00
1503408;55;2015;218860.00
1503408;55;2016;290947.10
1503408;55;2017;714091.50
1503408;55;2018;646191.00
1503408;55;2019;864835.11
1503408;55;2020;852862.80
1503408;55;2021;1156197.00
1503408;55;2022;1801265.00
1503408;55;2023;1695946.00
1503408;55;2024;2063140.00
1503457;56;2014;306032.90
1503457;56;2015;664394.01
1503457;56;2016;1002734.71
1503457;56;2017;1230929.10
1503457;56;2018;1376404.00
1503457;56;2019;1527912.00
1503457;56;2020;1722541.00
1503457;56;2021;2007978.00
1503457;56;2022;2104450.00
1503457;56;2023;2731568.00
1503457;56;2024;2964409.00
1503507;57;2014;121423.89
1503507;57;2015;259807.80
1503507;57;2016;382576.50
1503507;57;2017;996178.30
1503507;57;2018;1093980.31
1503507;57;2019;1278310.60
1503507;57;2020;1351590.50
1503507;57;2021;1626227.00
1503507;57;2022;1650992.00
1503507;57;2023;1535982.10
1503507;57;2024;1735277.00
1503606;58;2014;402909.00
1503606;58;2015;627448.00
1503606;58;2016;923997.60
1503606;58;2017;1999266.00
1503606;58;2018;1961257.00
1503606;58;2019;1889287.00
1503606;58;2020;2263376.00
1503606;58;2021;3120340.00
1503606;58;2022;2867693.00
1503606;58;2023;3019986.00
1503606;58;2024;3510937.00
1503705;59;2014;404702.90
1503705;59;2015;878208.20
1503705;59;2016;1325118.00
1503705;59;2017;1493064.00
1503705;59;2018;1475301.90
1503705;59;2019;1684072.00
1503705;59;2020;1898508.00
1503705;59;2021;2053761.00
1503705;59;2022;2032996.00
1503705;59;2023;1901404.00
1503705;59;2024;2232182.00
1503754;60;2014;431644.10
1503754;60;2015;1124621.41
1503754;60;2016;1752265.00
1503754;60;2017;1576560.00
1503754;60;2018;1555873.00
1503754;60;2019;1532051.00
1503754;60;2020;1555167.30
1503754;60;2021;2444403.00
1503754;60;2022;2833349.00
1503754;60;2023;3159026.00
1503754;60;2024;3685200.00
1503804;61;2014;192254.80
1503804;61;2015;444083.21
1503804;61;2016;608541.20
1503804;61;2017;1230927.70
1503804;61;2018;1158115.70
1503804;61;2019;1360712.70
1503804;61;2020;1474380.10
1503804;61;2021;1620496.00
1503804;61;2022;1920533.00
1503804;61;2023;2465549.00
1503804;61;2024;2819900.00
